"PERIODE","California","Illinois","New.York","Texas"
"2005:Q1",0,0,0,0
"2005:Q2",-0.193688639510903,-2.72634534494696,2.14896988040936,-1.38336351223955
"2005:Q3",-0.0952151258102774,-11.2054350603177,2.53327940846821,-2.77505499460915
"2005:Q4",3.52609853547303,-7.97081032247906,5.30392853303452,-1.08605785884439
"2006:Q1",-5.58987777185962,50.2686713686666,-2.23065909917546,-8.47643254716139
"2006:Q2",3.70474839913335,8.3544886833856,8.27768768925026,17.6407475288118
"2006:Q3",-2.54129512455972,-10.4978126415686,-9.95801527423277,-14.3420059660297
"2006:Q4",2.79898199913067,6.54027034426132,-7.92137206065897,-16.7108750702489
"2007:Q1",-7.1977317188809,3.19107850150431,14.1913376274402,3.77074256852765
"2007:Q2",-0.372609579064687,-2.78171677150141,-8.76776115583704,-7.45329791181977
"2007:Q3",-3.60233125284282,3.5356628338322,-7.58459557118343,4.51539324303596
"2007:Q4",0.643041500343777,8.41541202564677,-9.16236687112111,7.33120769522344
"2008:Q1",-11.3056613478362,19.74956904373,14.1932586540981,-18.3442639704154
"2008:Q2",1.02201025966817,-4.82479708543995,-1.58054534699028,-16.7695511668535
"2008:Q3",0.322601587655491,0.591352193148253,6.14285783881421,-27.8711028759281
"2008:Q4",4.62937822922065,8.4399353901242,16.7062995320461,39.2173819833211
"2009:Q1",17.3208390315384,-18.3832131099322,-25.6851341435408,-2.58298923882059
"2009:Q2",-5.25652642461445,4.58098067863268,4.34374779770748,-3.11993892201592
"2009:Q3",5.13602028430338,6.32499805699389,9.35253357803152,11.7076094248093
"2009:Q4",-11.1711807262138,5.54779646253767,-8.08656670571937,-6.48794280090286
"2010:Q1",5.8549296386655,-23.6216442797852,16.9156199058792,44.6472510769798
"2010:Q2",2.79846613065171,0.91758890900433,-1.66613850850883,-6.192857328376
"2010:Q3",-2.67204074992922,-1.17907798375079,-5.60597950660346,-8.71497565650241
"2010:Q4",-3.25162757475361,1.04767953776168,-4.69604700873649,-5.22347836715067
"2011:Q1",-7.80648093578371,22.0196272893944,-5.7856222480833,-17.0369195551777
"2011:Q2",-1.49748452271545,-11.5537900542813,1.43939152981671,-6.60195825124532
"2011:Q3",1.37571845985871,6.83645866895315,-0.00793965859884338,1.86634026283325
"2011:Q4",9.23170829378464,7.98350090609929,5.51802873808169,-3.72300918830284
"2012:Q1",-6.38014999519232,-29.3505148220786,-7.64051809281661,29.8327399472454
"2012:Q2",2.1191981351329,12.3635030550831,-6.56962605375115,-33.195648961218
"2012:Q3",2.92053095050218,-19.687743706379,-3.40927094351775,-14.7401811986883
"2012:Q4",-3.92776905820948,-35.4912065971245,-2.24748925306022,-6.10497671983108
"2013:Q1",-7.34496738351105,92.5420181571564,-3.36929892389159,19.399470510514
"2013:Q2",11.8698742623334,-2.87382882197775,15.0345027816204,21.3711375411572
"2013:Q3",4.14577404471324,-5.14830498490646,2.25399135679352,-3.22351439009125
"2013:Q4",1.30490630249067,-5.13680331424577,7.14273417984925,11.8211785929091
"2014:Q1",11.1584462494418,-23.98370187376,-7.77468572703466,-10.3073054578919
"2014:Q2",-4.65283097045308,6.31158443666102,-2.54381859713142,3.5897663809628
"2014:Q3",-1.06185149479288,-8.07431279543209,10.3222164833439,4.25898638882583
"2014:Q4",-4.69445122643002,11.3557150082794,7.28928503726562,-0.549693159807774
"2015:Q1",14.3861219583,-67.3814725644707,-19.2924226270998,29.4952734140967
"2015:Q2",-3.77589028984371,10.9229847775183,5.97083159426486,-3.17139355760609
"2015:Q3",0.635429560286482,15.0223476188282,1.84394629971161,4.08501746267333
"2015:Q4",5.68149522678851,31.9975197164636,-4.57792953334817,3.4005069671073
"2016:Q1",3.8058818110537,26.2638353073463,12.8183419645077,-21.5814183703277
"2016:Q2",-0.686335979279562,-12.8774586565148,-4.21180014551599,4.80819274179307
"2016:Q3",4.33156157006938,-8.34227402385945,-0.915090330623514,2.60046981960649
"2016:Q4",5.28720221142844,-0.464657370357457,-4.4422768684278,-7.48340257641011
"2017:Q1",-8.63337398240471,12.182817996341,8.4038828297504,12.7431252710199
"2017:Q2",-0.575760492781008,-8.886136482929,-0.593215947828885,-3.56062764922207
"2017:Q3",2.79098068554067,-8.14953531302987,1.69788251431173,-9.34284314723755
"2017:Q4",-0.708937739902105,-9.79626304243979,4.88988620370225,-0.148816720629164
"2018:Q1",-2.96262828812281,-12.225626092129,-10.9024250522831,4.62082809653293
"2018:Q2",4.51257223408366,17.7839360530999,6.29392315918942,2.3277322731639
"2018:Q3",4.07030518902101,31.2376946955935,-6.01401224525855,-7.14482286667142
"2018:Q4",-0.730466242520755,28.8390930321549,-4.91207317569851,8.92302173030757
"2019:Q1",1.50475831236676,-101.409091349966,24.7870031949843,-29.4694343871562
"2019:Q2",-5.47086629736491,34.9075053726747,-5.43700315585056,22.3907926211401
"2019:Q3",-3.4519149249471,24.5425108982456,-4.74701699896238,-1.96253757879443
"2019:Q4",-4.65623841013461,-15.7206325652792,4.12388028712316,6.49844616092228
"2020:Q1",-6.57436734175771,4.89082929238762,-3.75429530685585,21.8491703995442
"2020:Q2",26.9086858450073,29.4508917320524,-28.8092048542252,-84.2213694424071
"2020:Q3",-1.79062644190342,-29.3543716190765,47.9729281449333,57.7435035792034
"2020:Q4",-5.52615755320378,15.8563453807448,-18.9283126635764,-5.90646084296793
"2021:Q1",-15.3095093747869,25.5245019611722,8.68636975446355,21.1953150190645
"2021:Q2",-10.8855308598974,16.4684009986711,-12.0900392692946,-14.455809287592
