GeoFips;GeoName;2005:Q1;2005:Q2;2005:Q3;2005:Q4;2006:Q1;2006:Q2;2006:Q3;2006:Q4;2007:Q1;2007:Q2;2007:Q3;2007:Q4;2008:Q1;2008:Q2;2008:Q3;2008:Q4;2009:Q1;2009:Q2;2009:Q3;2009:Q4;2010:Q1;2010:Q2;2010:Q3;2010:Q4;2011:Q1;2011:Q2;2011:Q3;2011:Q4;2012:Q1;2012:Q2;2012:Q3;2012:Q4;2013:Q1;2013:Q2;2013:Q3;2013:Q4;2014:Q1;2014:Q2;2014:Q3;2014:Q4;2015:Q1;2015:Q2;2015:Q3;2015:Q4;2016:Q1;2016:Q2;2016:Q3;2016:Q4;2017:Q1;2017:Q2;2017:Q3;2017:Q4;2018:Q1;2018:Q2;2018:Q3;2018:Q4;2019:Q1;2019:Q2;2019:Q3;2019:Q4;2020:Q1;2020:Q2;2020:Q3;2020:Q4;2021:Q1;2021:Q2;2021:Q3;2021:Q4;2022:Q1;2022:Q2;2022:Q3;2022:Q4;2023:Q1;2023:Q2;2023:Q3;2023:Q4;2024:Q1;2024:Q2;2024:Q3;2024:Q4
6000;California;31162,6;31102,3;31072,7;32187,9;30438;31586,8;30794,2;31668,3;29469;29359,4;28320,6;28503,3;25456,3;25717,8;25800,9;27023,4;32133,9;30488,4;32095,2;28702,8;30433,5;31297,2;30472;29497,1;27282;26876,5;27248,8;29884,1;28037;28637,5;29486,2;28350,5;26342,8;29662,8;30918,4;31324,5;35022,3;33430,1;33077;31560,1;36443,2;35092,8;35316,5;37381,1;38831,2;38565,6;40272,8;42459,4;38947,5;38723,9;39819,9;39538,6;38384,4;40156,2;41824,4;41520;42149,5;39905,5;38551,5;36797,6;34456,2;45095,2;44294,9;41913,5;35963,8;32254,5;34057,3;42802,8;34819,9;31635,1;31558,8;33807,1;30828,1;35730,2;35528,9;38450,2;42752;45960,2;43124,3;42791
17000;Illinois;3320,3;3231;2888,5;2667,2;4409,3;4793,5;4315,8;4607,5;4756,9;4626,4;4792,9;5213,7;6352,1;6052,9;6088,8;6625;5512,5;5770,9;6147,7;6498,4;5131,2;5178,5;5117,8;5171,7;6445,6;5742,3;6148,6;6659,6;4965,7;5619,2;4615;3236,2;8164,7;7933,4;7535,3;7158;5631,6;5998,5;5533,2;6198,6;3159,8;3524,5;4095,8;5640,3;7334,4;6448,2;5932,1;5904,6;6669,6;6102,5;5624,9;5100;4513,1;5391,5;7368,4;9831,5;3566,2;5056;6462,4;5522,3;5799,1;7785,1;5804,7;6802,1;8780;10351,8;9482,9;7814,3;7883,6;9121,2;9201;8491,5;8519,7;8893,4;8620;7610,6;6077,6;5071,1;3213,2;3117,1
36000;New York;2449,1;2502,3;2566,5;2706,3;2646,6;2875;2602,5;2404,3;2770,9;2538,3;2352,9;2146,9;2474,3;2435,5;2589,8;3060,7;2367,4;2472,5;2714,9;2504;2965,5;2916,5;2757,5;2631;2483,1;2519,1;2518,9;2661,8;2466;2309,2;2231,8;2182,2;2109,9;2452,2;2508,1;2693,8;2492,3;2429,7;2693,9;2897,6;2389,2;2536,2;2583,4;2467,8;2805,3;2689,6;2665,1;2549,3;2772,8;2756,4;2803,6;2944,1;2640;2811,5;2647,4;2520,5;3229,5;3058,6;2916,8;3039,6;2927,6;2194,8;3546;2934,5;3200,8;2836,3;2635,9;3216,9;3380,7;3245,9;3093,4;3117,3;2759,8;2645,8;2705,2;3099,5;3272,4;3944,4;4400,4;3836
48000;Texas;10336;10194;9915;9807,9;9010,8;10749,2;9313;7879,8;8182,6;7594,9;7945,7;8550,1;7117,1;6018,3;4554,4;6741,4;6569,5;6367,7;7158,6;6708,9;10484,6;9855;9032,5;8572,8;7229,9;6768;6895,5;6643,5;8952,8;6423,8;5543,4;5215,1;6331,6;7840,2;7591,5;8544,1;7707,3;7989;8336,6;8290,9;11135,2;10787,6;11237,4;11626,1;9369,3;9830,8;10089,8;9362,3;10634,7;10262,7;9347,3;9333,4;9774,8;10005;9315,1;10184,5;7585;9488,5;9304,1;9928,8;12353,4;5321,3;9479,7;8936;11045,7;9559;9290;9895,7;12095,8;10489,2;10468,4;10270,7;13191,7;13517,3;13853,2;14321,2;15803,7;17624,1;18299,5;17797,8
