GeoFips;GeoName;2005:Q1;2005:Q2;2005:Q3;2005:Q4;2006:Q1;2006:Q2;2006:Q3;2006:Q4;2007:Q1;2007:Q2;2007:Q3;2007:Q4;2008:Q1;2008:Q2;2008:Q3;2008:Q4;2009:Q1;2009:Q2;2009:Q3;2009:Q4;2010:Q1;2010:Q2;2010:Q3;2010:Q4;2011:Q1;2011:Q2;2011:Q3;2011:Q4;2012:Q1;2012:Q2;2012:Q3;2012:Q4;2013:Q1;2013:Q2;2013:Q3;2013:Q4;2014:Q1;2014:Q2;2014:Q3;2014:Q4;2015:Q1;2015:Q2;2015:Q3;2015:Q4;2016:Q1;2016:Q2;2016:Q3;2016:Q4;2017:Q1;2017:Q2;2017:Q3;2017:Q4;2018:Q1;2018:Q2;2018:Q3;2018:Q4;2019:Q1;2019:Q2;2019:Q3;2019:Q4;2020:Q1;2020:Q2;2020:Q3;2020:Q4;2021:Q1;2021:Q2;2021:Q3;2021:Q4;2022:Q1;2022:Q2;2022:Q3;2022:Q4;2023:Q1;2023:Q2;2023:Q3;2023:Q4;2024:Q1;2024:Q2;2024:Q3;2024:Q4
6000;California;2011957,6;2029374,2;2056154,2;2071078;2114085,7;2109040,3;2121481,1;2137134,4;2126879,2;2153290,5;2180276,5;2215315,5;2180243,6;2224915,6;2222326,2;2141841,9;2132988,7;2103479,1;2097783,4;2108466,3;2130529,1;2139237,4;2150266,8;2195377,7;2185033,7;2194927,2;2189999,3;2201588,5;2231663,5;2242371,4;2256039,1;2291675,1;2287676,1;2315711,1;2348046,5;2409907,6;2383712;2412048,9;2456771,3;2462170,6;2518399,5;2550179,7;2556125,7;2559213,2;2599892,4;2600609,1;2639393,2;2654952;2681002;2717703,9;2759618;2803877,1;2809417,8;2838193,8;2869602,8;2886666,7;2909833,5;2954169,3;2989756,8;3024676,3;2983004,4;2751836,2;2978343;3020097,3;3078576,1;3130909,7;3175140,8;3232127,9;3191257,9;3180774,6;3186374;3177624,8;3222520,6;3228085,4;3262783;3281237,1;3331857,2;3354963,1;3380751,2;3392761,6
17000;Illinois;738931,8;739052,6;743557,6;743452,2;757875,8;758270,4;758160,5;764996,1;764332,9;768292,9;769950,8;775709,9;763659,5;767475,2;763586,2;741660,4;735610,7;737193,3;740394,1;749979,1;743781;751543,8;761689,1;764551,6;766319,1;772094,5;771408,7;779080,2;794426,3;793682,2;790563,2;784221,4;791917,4;790672,7;795175,4;803975,4;797714,2;810220,2;818332,3;819693,7;820333,5;824655;830015,9;826695,3;824188;825439,8;824048,3;831942,7;827244,7;831227,2;834913,4;837922;846640,6;848069,3;853891,4;857467,4;853067,6;856589;864431,7;857984,9;832702;764986,7;819347,9;823767;841918,7;853522,9;857513,3;870597,5;878185,4;873990,1;874761,8;879206,8;881185,1;882473,2;887438,6;891508,3;887516,3;893704,2;898035,4;902114,1
36000;New York;1276644,5;1288086,5;1310064,5;1330956,6;1345654,7;1334401,1;1330729,5;1347488,8;1382845,7;1346675,2;1348699,5;1336975,3;1338711,4;1329041,3;1336299;1308331,1;1319111,6;1381244,1;1397375,5;1420287,1;1427785,2;1450765;1428292;1419653,9;1448482,9;1434551,8;1431819,6;1446532,9;1467075;1490188,6;1505473,3;1522383,6;1487125,7;1495170;1502382,7;1522593,8;1512163,3;1523669,4;1544034,7;1561636,4;1555233,7;1574206;1575760,8;1558140,2;1590076,8;1592969,3;1584141,5;1595083,6;1615882,9;1610484,9;1621581,1;1651253,8;1657126,1;1667068,7;1674704,9;1661847,4;1684004,1;1703063,6;1708092,1;1722297,4;1710292,6;1559243,7;1669629,5;1687973,4;1688534,8;1722666,3;1742180,1;1791507,9;1775770,4;1756439,3;1763451,5;1764747,2;1772700,3;1783664,9;1805139,3;1803338,4;1814253,5;1831168,7;1839391,2;1853429,9
48000;Texas;1145464;1138105,3;1139410,5;1150672,5;1199085,1;1216269,5;1230076,3;1255158,1;1268400,5;1291796,4;1294241,5;1300876,2;1284436,7;1281165,1;1281540,1;1301624,2;1289023,9;1276382,5;1282525,3;1294309,2;1310711,2;1315872;1328624,8;1337028,3;1348985,4;1365201,1;1370137,8;1396375,3;1417027,1;1431760,8;1438761,1;1465868,6;1487916,8;1505441,2;1522933,2;1530935;1521271,1;1549853,2;1574744,4;1592675,7;1635187;1619894,5;1637102,1;1644324,6;1636233;1631766,4;1634400,9;1633052,8;1642860,4;1654182,7;1672558,3;1699650,7;1719792,7;1742497,8;1755960;1767922,5;1772384,2;1790077,5;1826002,2;1838480,4;1807341,8;1680581;1791705,2;1815000,5;1844499;1871578,6;1886783,9;1913543,7;1920808;1922668,7;1956591,7;2010765,8;2047534,5;2079740,8;2116586,2;2144500,1;2145329,6;2160124,1;2182545,2;2201475,3
